date,value,volume,open,close,name
12/10/2021,410,4915,404.01,410,SUU
12/13/2021,414.43,15721,410,414.43,SUU
12/14/2021,432.67,6795,414.43,432.67,SUU
12/15/2021,497.56,3806,432.67,497.56,SUU
12/16/2021,572.19,16571,497.56,572.19,SUU
12/17/2021,624.79,33133,572.19,624.79,SUU
12/20/2021,693.77,23997,624.79,693.77,SUU
12/21/2021,778.81,43871,693.77,778.81,SUU
12/22/2021,760,54657,778.81,760,SUU
12/23/2021,768.99,8310,760,768.99,SUU
12/24/2021,745.66,28062,768.99,745.66,SUU
12/27/2021,710.22,23777,745.66,710.22,SUU
12/28/2021,709.58,6022,710.22,709.58,SUU
12/30/2021,653.6,38668,709.58,653.6,SUU
12/31/2021,591.4,11241,653.6,591.4,SUU
1/3/2022,600,49350,591.4,600,SUU
1/4/2022,599.98,9458,600,599.98,SUU
1/5/2022,600,12943,599.98,600,SUU
1/6/2022,596.14,50370,600,596.14,SUU
1/7/2022,599.8,36326,596.14,599.8,SUU
1/10/2022,599.8,56685,599.8,599.8,SUU
1/11/2022,599.51,17591,599.8,599.51,SUU
1/12/2022,600,10216,599.51,600,SUU
1/13/2022,597.81,11467,600,597.81,SUU
1/14/2022,597.39,6613,597.81,597.39,SUU
1/17/2022,579.23,22318,597.39,579.23,SUU
1/18/2022,561.33,11866,579.23,561.33,SUU
1/19/2022,588.31,14039,561.33,588.31,SUU
1/20/2022,550,6701,588.31,550,SUU
1/21/2022,550.23,16452,550,550.23,SUU
1/24/2022,590.92,5055,550.23,590.92,SUU
1/25/2022,595.98,20462,590.92,595.98,SUU
1/26/2022,587.94,12160,595.98,587.94,SUU
1/27/2022,597.32,19603,587.94,597.32,SUU
1/28/2022,595.19,6104,597.32,595.19,SUU
1/31/2022,596,19592,595.19,596,SUU
2/1/2022,599.49,9951,596,599.49,SUU
2/7/2022,589.81,17714,599.49,589.81,SUU
2/8/2022,602.41,5153,589.81,602.41,SUU
2/9/2022,580.12,7835,602.41,580.12,SUU
2/10/2022,588,5816,580.12,588,SUU
2/11/2022,594.01,3287,588,594.01,SUU
2/14/2022,595.29,4427,594.01,595.29,SUU
2/15/2022,596,3599,595.29,596,SUU
2/16/2022,597.84,11166,596,597.84,SUU
2/18/2022,596.34,5992,597.84,596.34,SUU
2/21/2022,593.81,18015,596.34,593.81,SUU
2/22/2022,594.25,7434,593.81,594.25,SUU
2/23/2022,592.4,10815,594.25,592.4,SUU
2/24/2022,551.59,9278,592.4,551.59,SUU
2/25/2022,550,2354,551.59,550,SUU
2/28/2022,539.94,1810,550,539.94,SUU
3/1/2022,535.9,3165,539.94,535.9,SUU
3/2/2022,535.06,15699,535.9,535.06,SUU
3/3/2022,539,5462,535.06,539,SUU
3/4/2022,531.14,4281,539,531.14,SUU
3/7/2022,530.88,2803,531.14,530.88,SUU
3/9/2022,530,9608,530.88,530,SUU
3/10/2022,503.6,9172,530,503.6,SUU
3/11/2022,530,3546,503.6,530,SUU
3/14/2022,520,4410,530,520,SUU
3/15/2022,503.38,15522,520,503.38,SUU
3/16/2022,513.15,1607,503.38,513.15,SUU
3/17/2022,507.91,3736,513.15,507.91,SUU
3/18/2022,509.04,2445,507.91,509.04,SUU
3/21/2022,514.82,6059,509.04,514.82,SUU
3/22/2022,515.61,1247,514.82,515.61,SUU
3/23/2022,514,1965,515.61,514,SUU
3/24/2022,517.49,2259,514,517.49,SUU
3/25/2022,519.12,5321,517.49,519.12,SUU
3/28/2022,540,3193,519.12,540,SUU
3/29/2022,521.02,2222,540,521.02,SUU
3/30/2022,525.98,1907,521.02,525.98,SUU
3/31/2022,530.95,915,525.98,530.95,SUU
4/1/2022,529.52,2280,530.95,529.52,SUU
4/4/2022,540.61,3601,529.52,540.61,SUU
4/5/2022,555.04,10495,540.61,555.04,SUU
4/6/2022,580,1075,555.04,580,SUU
4/7/2022,581.01,4131,580,581.01,SUU
4/8/2022,569.97,7066,581.01,569.97,SUU
4/11/2022,561.55,10043,569.97,561.55,SUU
4/12/2022,560,2453,561.55,560,SUU
4/13/2022,556.95,5968,560,556.95,SUU
4/14/2022,535.59,789,556.95,535.59,SUU
4/15/2022,559.5,2277,535.59,559.5,SUU
4/18/2022,535.07,5593,559.5,535.07,SUU
4/19/2022,533.97,1763,535.07,533.97,SUU
4/20/2022,530.51,5709,533.97,530.51,SUU
4/21/2022,530,1329,530.51,530,SUU
4/22/2022,530,2940,530,530,SUU
4/25/2022,531,848,530,531,SUU
4/26/2022,539.01,712,531,539.01,SUU
4/27/2022,548.09,2953,539.01,548.09,SUU
4/28/2022,547,2217,548.09,547,SUU
4/29/2022,550,662,547,550,SUU
5/2/2022,546.94,5324,550,546.94,SUU
5/3/2022,546.21,3469,546.94,546.21,SUU
